03011949,Minneapolis Lakers,78,Tri-Cities Blackhawks,76
03011949,New York Knicks,78,Boston Celtics,97
03011949,Anderson Packers,82,Indianapolis Olympians,89
03011949,Washington Capitols,72,Rochester Royals,96
03011949,Tri-Cities Blackhawks,75,Fort Wayne Pistons,81
03011949,Baltimore Bullets,77,Minneapolis Lakers,88
03011949,New York Knicks,79,Philadelphia Warriors,72
03011949,Chicago Stags,87,Waterloo Hawks,80
03011949,Syracuse Nationals,85,Washington Capitols,87
03011949,Chicago Stags,81,Anderson Packers,80
03011949,Syracuse Nationals,64,Philadelphia Warriors,62
03011949,Fort Wayne Pistons,79,Rochester Royals,97
03011949,Waterloo Hawks,92,Sheboygan Red Skins,94
03011949,Baltimore Bullets,63,St. Louis Bombers,90
03011949,Fort Wayne Pistons,73,Boston Celtics,92
03011949,Tri-Cities Blackhawks,85,Denver Nuggets,83
03011949,Fort Wayne Pistons,65,Philadelphia Warriors,62
03011949,St. Louis Bombers,68,Rochester Royals,87
03011949,Minneapolis Lakers,86,Waterloo Hawks,68
03011949,New York Knicks,64,Washington Capitols,70
02011950,Chicago Stags,92,Denver Nuggets,78
02011950,Boston Celtics,72,Fort Wayne Pistons,80
02011950,Anderson Packers,75,Minneapolis Lakers,87
02011950,Philadelphia Warriors,59,New York Knicks,81
02011950,Indianapolis Olympians,89,Sheboygan Red Skins,75
02011950,Waterloo Hawks,79,St. Louis Bombers,91
02011950,Washington Capitols,73,Syracuse Nationals,79
02011950,Baltimore Bullets,66,Tri-Cities Blackhawks,79
02011950,Baltimore Bullets,75,Anderson Packers,92
02011950,Tri-Cities Blackhawks,76,Indianapolis Olympians,78
02011950,Washington Capitols,79,Rochester Royals,83
02011950,Sheboygan Red Skins,73,Waterloo Hawks,69
02011950,Anderson Packers,82,Denver Nuggets,86
02011950,Fort Wayne Pistons,75,Minneapolis Lakers,91
02011950,Boston Celtics,68,St. Louis Bombers,72
02011950,Rochester Royals,72,Washington Capitols,63
02011950,Rochester Royals,71,Baltimore Bullets,74
02011950,Anderson Packers,69,Denver Nuggets,76
02011950,St. Louis Bombers,83,Fort Wayne Pistons,87
02011950,Waterloo Hawks,70,New York Knicks,82
02011950,Minneapolis Lakers,82,Sheboygan Red Skins,85
02011950,Tri-Cities Blackhawks,73,Syracuse Nationals,82
02011950,Baltimore Bullets,53,Boston Celtics,74
02011950,Rochester Royals,73,Philadelphia Warriors,91
02011950,Indianapolis Olympians,85,Baltimore Bullets,61
02011950,Fort Wayne Pistons,88,New York Knicks,80
02011950,Philadelphia Warriors,68,Rochester Royals,85
02011950,Sheboygan Red Skins,86,Tri-Cities Blackhawks,98
02011950,Waterloo Hawks,83,Washington Capitols,101
02011950,Sheboygan Red Skins,69,Fort Wayne Pistons,83
02011950,Boston Celtics,80,Minneapolis Lakers,85
02011950,Rochester Royals,75,St. Louis Bombers,73
02011950,Waterloo Hawks,68,Syracuse Nationals,84
02011950,Sheboygan Red Skins,89,Anderson Packers,112
02011950,Boston Celtics,97,Denver Nuggets,84
02011950,Sheboygan Red Skins,77,Indianapolis Olympians,107
02011950,Baltimore Bullets,67,Rochester Royals,85
02011950,Syracuse Nationals,84,Waterloo Hawks,86
02011950,Chicago Stags,71,Washington Capitols,86
02011950,Syracuse Nationals,88,Minneapolis Lakers,98
02011950,Washington Capitols,72,New York Knicks,73
02011950,Anderson Packers,81,Tri-Cities Blackhawks,88
02011950,Waterloo Hawks,69,Anderson Packers,80
02011950,Syracuse Nationals,64,Fort Wayne Pistons,62
02011950,Denver Nuggets,92,Sheboygan Red Skins,115
02011950,Minneapolis Lakers,89,St. Louis Bombers,73
02011950,Chicago Stags,77,Boston Celtics,76
02011950,Waterloo Hawks,64,Indianapolis Olympians,80
02011950,Washington Capitols,77,Philadelphia Warriors,67
02011950,Chicago Stags,83,Baltimore Bullets,78
02011950,Boston Celtics,80,New York Knicks,82
02011950,Minneapolis Lakers,77,Rochester Royals,83
02011950,Denver Nuggets,94,Sheboygan Red Skins,80
02011950,Philadelphia Warriors,70,Washington Capitols,78
02011950,Philadelphia Warriors,67,Fort Wayne Pistons,81
02011950,Rochester Royals,73,Minneapolis Lakers,85
02011950,Anderson Packers,76,Sheboygan Red Skins,81
02011950,Denver Nuggets,83,St. Louis Bombers,89
02011950,Indianapolis Olympians,69,Syracuse Nationals,82
02011950,Waterloo Hawks,80,Tri-Cities Blackhawks,84
02011950,Denver Nuggets,83,Anderson Packers,95
02011950,St. Louis Bombers,69,Chicago Stags,78
02011950,Sheboygan Red Skins,72,Philadelphia Warriors,89
02011950,Minneapolis Lakers,105,Boston Celtics,79
02011950,Denver Nuggets,81,Indianapolis Olympians,101
02011950,Boston Celtics,86,Philadelphia Warriors,94
02011950,Fort Wayne Pistons,73,Sheboygan Red Skins,72
02011950,Rochester Royals,70,Tri-Cities Blackhawks,65
02011950,St. Louis Bombers,69,Waterloo Hawks,80
02011950,Minneapolis Lakers,76,Washington Capitols,68
02011950,Rochester Royals,81,Anderson Packers,78
02011950,Washington Capitols,81,Baltimore Bullets,68
02011950,Philadelphia Warriors,63,Boston Celtics,86
02011950,Tri-Cities Blackhawks,68,Chicago Stags,83
02011950,Waterloo Hawks,87,Indianapolis Olympians,104
02011950,Minneapolis Lakers,94,New York Knicks,83
02011950,Fort Wayne Pistons,64,St. Louis Bombers,74
02011950,Denver Nuggets,86,Syracuse Nationals,107
02011950,Minneapolis Lakers,89,Philadelphia Warriors,90
02011950,Philadelphia Warriors,58,Baltimore Bullets,68
02011950,Fort Wayne Pistons,94,Indianapolis Olympians,112
02011950,Anderson Packers,79,Rochester Royals,95
02011950,Denver Nuggets,84,Waterloo Hawks,88
02011950,Sheboygan Red Skins,88,Washington Capitols,82
02011950,Sheboygan Red Skins,69,Baltimore Bullets,76
02011950,Washington Capitols,70,Fort Wayne Pistons,82
02011950,Chicago Stags,75,Minneapolis Lakers,103
02011950,Rochester Royals,71,New York Knicks,81
02011950,Boston Celtics,47,St. Louis Bombers,71
02011950,Anderson Packers,77,Syracuse Nationals,75
02011950,Denver Nuggets,97,Tri-Cities Blackhawks,111
02011950,Tri-Cities Blackhawks,99,Anderson Packers,96
02011950,Minneapolis Lakers,80,Chicago Stags,68
02011950,Waterloo Hawks,69,Indianapolis Olympians,107
02011950,Sheboygan Red Skins,68,New York Knicks,101
02011950,Fort Wayne Pistons,74,Philadelphia Warriors,87
02011950,Baltimore Bullets,56,Rochester Royals,70
02011950,Washington Capitols,75,St. Louis Bombers,67
02011950,St. Louis Bombers,78,Minneapolis Lakers,85
02011950,Fort Wayne Pistons,66,New York Knicks,96
02011950,Washington Capitols,65,Tri-Cities Blackhawks,62
02011950,Denver Nuggets,83,Waterloo Hawks,104
02011950,Denver Nuggets,75,Anderson Packers,109
02011950,New York Knicks,79,Baltimore Bullets,77
02011950,Fort Wayne Pistons,68,Boston Celtics,89
02011950,Washington Capitols,82,St. Louis Bombers,71
02011950,Rochester Royals,72,Syracuse Nationals,76
02011950,Indianapolis Olympians,91,Anderson Packers,78
02011950,Baltimore Bullets,74,Philadelphia Warriors,71
02011950,Fort Wayne Pistons,64,Baltimore Bullets,77
02011950,Philadelphia Warriors,58,New York Knicks,55
02011950,Boston Celtics,75,Rochester Royals,82
02011950,Indianapolis Olympians,81,Tri-Cities Blackhawks,97
02011950,New York Knicks,70,Fort Wayne Pistons,92
02011950,Washington Capitols,60,Minneapolis Lakers,88
02011950,Chicago Stags,66,St. Louis Bombers,51
02011950,Sheboygan Red Skins,70,Syracuse Nationals,85
02011950,Tri-Cities Blackhawks,85,Waterloo Hawks,79
02011950,Sheboygan Red Skins,74,Anderson Packers,91
02011950,Syracuse Nationals,91,Indianapolis Olympians,75
02011950,Rochester Royals,85,Boston Celtics,72
02011950,Fort Wayne Pistons,93,Chicago Stags,89
02011950,Washington Capitols,88,Denver Nuggets,78
02011950,Tri-Cities Blackhawks,83,New York Knicks,77
02011950,Chicago Stags,78,Boston Celtics,76
02011950,New York Knicks,81,Minneapolis Lakers,96
02011950,Rochester Royals,82,Philadelphia Warriors,68
02011950,Syracuse Nationals,83,Tri-Cities Blackhawks,91
02011950,Anderson Packers,86,Waterloo Hawks,73
02011950,Rochester Royals,69,Baltimore Bullets,79
02011950,Minneapolis Lakers,79,Fort Wayne Pistons,78
02011950,Syracuse Nationals,73,Indianapolis Olympians,67
02011950,Washington Capitols,65,Sheboygan Red Skins,68
